date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:25	129512/129512	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2007:17:25%20GMT	https://www.translate-wf.com/	/Users/sameersaurabh/desktop/Respawn-cgs/www.translate-wf.com/index.html	(from )
12:47:25	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2029%20Dec%202022%2007:17:25%20GMT	https://www.translate-wf.com/robots.txt		(from )
12:47:26	174448/174448	---M-Z	200	added ('OK')	text/css	etag:%22eb8ae92cbb39eee6a4e24f344d51dae9%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/css/fs-wg4wf.webflow.f888da669.css	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/css/fs-wg4wf.webflow.f888da669.css	(from https://www.translate-wf.com/)
12:47:27	2123/2123	---M--	200	added ('OK')	image/png	etag:%2285a6313484e40cd6bd9f738ea8e7e9c6%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e4bc9ee3a237ec93dc88ace_weglot-favico.png	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e4bc9ee3a237ec93dc88ace_weglot-favico.png	(from https://www.translate-wf.com/)
12:47:28	18021/18021	---M--	200	added ('OK')	image/png	etag:%2287aa24ace8c1fd9823e75143a6efbbb4%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e4bca033a237e7b13c88b0d_weglot-fav-big.png	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e4bca033a237e7b13c88b0d_weglot-fav-big.png	(from https://www.translate-wf.com/)
12:47:29	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2029%20Dec%202022%2007:17:29%20GMT	https://www.googletagmanager.com/gtm.js?id=	/Users/sameersaurabh/desktop/Respawn-cgs/www.googletagmanager.com/gtm.35445.delayed	(from https://www.translate-wf.com/)
12:47:30	415/415	---M--	200	added ('OK')	image/svg+xml	etag:%22cc46103a122ca969ce9753406fdc9bd0%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc51f2bc86988_logo-wf.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc51f2bc86988_logo-wf.svg	(from https://www.translate-wf.com/)
12:47:31	1933/1933	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2249c1afad02a1ecdc7b9821c89f286808%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc57be9c8694c_ill-pointer-1.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc57be9c8694c_ill-pointer-1.svg	(from https://www.translate-wf.com/)
12:47:32	892/892	---M--	200	added ('OK')	image/svg+xml	etag:%22b17243b19435237ce0cc9bbb325ab9ce%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5004ac86950_ill-pointer-2.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5004ac86950_ill-pointer-2.svg	(from https://www.translate-wf.com/)
12:47:33	547/547	---M--	200	added ('OK')	image/svg+xml	etag:%2259d7786eafabd1a705e5ab1b0444e5b3%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5e29fc8696c_ill-pointer-3.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5e29fc8696c_ill-pointer-3.svg	(from https://www.translate-wf.com/)
12:47:35	79847/79847	---MCZ	200	added ('OK')	application/javascript	etag:W/%224433335b567cd2ef4d1c9ba20c836839%22	https://cdn.weglot.com/weglot.min.js	/Users/sameersaurabh/desktop/Respawn-cgs/cdn.weglot.com/weglot.min.js	(from https://www.translate-wf.com/)
12:47:35	2702/2702	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2270bb4b48641cf677ccf776266f8d24a7%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc56214c86947_ill-western-hem.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc56214c86947_ill-western-hem.svg	(from https://www.translate-wf.com/)
12:47:36	5522/5522	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260ebdd20fce10901de67610dba83a623%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc51066c86957_ill-eastern-hem.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc51066c86957_ill-eastern-hem.svg	(from https://www.translate-wf.com/)
12:47:37	381/381	---M--	200	added ('OK')	image/svg+xml	etag:%22f4c3a9f72425a18e95753a92566d2e31%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5187ec86952_ill-triangles-1.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5187ec86952_ill-triangles-1.svg	(from https://www.translate-wf.com/)
12:47:38	466/466	---M--	200	added ('OK')	image/svg+xml	etag:%22a9bb875f2717a7b93b1dd9adb0d1a7ac%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc55f3cc86946_ill-triangles-2.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc55f3cc86946_ill-triangles-2.svg	(from https://www.translate-wf.com/)
12:47:39	641/641	---M--	200	added ('OK')	image/svg+xml	etag:%223e38398285679ad61e034bb17d5188d2%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc53774c8697b_ill-bar-breaker.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc53774c8697b_ill-bar-breaker.svg	(from https://www.translate-wf.com/)
12:47:40	433/433	---M--	200	added ('OK')	image/svg+xml	etag:%221adabc61490f112574b5e016161d975b%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5f103c86978_ill-scan.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5f103c86978_ill-scan.svg	(from https://www.translate-wf.com/)
12:47:41	1062/1062	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22de3a9731be2de95c05bb7a204778bdcf%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc538d9c8696f_ill-eye.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc538d9c8696f_ill-eye.svg	(from https://www.translate-wf.com/)
12:47:43	11468/11468	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227aace53aa506fb17722e127b60a9cf67%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc53de5c86967_ill-lennon.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc53de5c86967_ill-lennon.svg	(from https://www.translate-wf.com/)
12:47:43	442/442	---M--	200	added ('OK')	image/svg+xml	etag:%2273dba74939c384117837094837e416a2%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc50022c8694e_ill-pie-1.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc50022c8694e_ill-pie-1.svg	(from https://www.translate-wf.com/)
12:47:44	453/453	---M--	200	added ('OK')	image/svg+xml	etag:%228c280dd8a559299d79841619995cac55%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc54397c86948_ill-pie-2.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc54397c86948_ill-pie-2.svg	(from https://www.translate-wf.com/)
12:47:45	448/448	---M--	200	added ('OK')	image/svg+xml	etag:%224e5ba4247b8e739a4d67bcb51854469d%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5c090c8696b_ill-pie-3.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5c090c8696b_ill-pie-3.svg	(from https://www.translate-wf.com/)
12:47:46	445/445	---M--	200	added ('OK')	image/svg+xml	etag:%227af1d5cfd8f6accee61168a411927f30%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc56a94c86959_ill-pie-4.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc56a94c86959_ill-pie-4.svg	(from https://www.translate-wf.com/)
12:47:48	454/454	---M--	200	added ('OK')	image/svg+xml	etag:%2242fd871c9d5fa4b08e50c3fbcf802422%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc56c4ec86974_ill-pie-5.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc56c4ec86974_ill-pie-5.svg	(from https://www.translate-wf.com/)
12:47:49	468/468	---M--	200	added ('OK')	image/svg+xml	etag:%22d7b3779a79e03975fb6a830a88a5bd48%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc58909c8694a_ill-pie-6.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc58909c8694a_ill-pie-6.svg	(from https://www.translate-wf.com/)
12:47:50	459/459	---M--	200	added ('OK')	image/svg+xml	etag:%22ece081fa9214251ed6a8439237c2d76f%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5123bc86954_ill-pie-7.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5123bc86954_ill-pie-7.svg	(from https://www.translate-wf.com/)
12:47:51	443/443	---M--	200	added ('OK')	image/svg+xml	etag:%22fb9538811e0b928c2196258069582e30%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5fa53c86955_ill-pie-8.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5fa53c86955_ill-pie-8.svg	(from https://www.translate-wf.com/)
12:47:52	204/204	---M--	200	added ('OK')	image/svg+xml	etag:%228e9ea3dfa2f3665830807a581c7c25eb%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc511f8c86977_ill-logo-w.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc511f8c86977_ill-logo-w.svg	(from https://www.translate-wf.com/)
12:47:53	169/169	---M--	200	added ('OK')	image/svg+xml	etag:%22d3b3ae883e50be253d3f7144cadbee6b%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc51d24c86980_ill-logo-e.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc51d24c86980_ill-logo-e.svg	(from https://www.translate-wf.com/)
12:47:54	446/446	---M--	200	added ('OK')	image/svg+xml	etag:%22bff450cddee3362234dfcde6470228ec%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc54a01c86971_ill-logo-g.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc54a01c86971_ill-logo-g.svg	(from https://www.translate-wf.com/)
12:47:55	139/139	---M--	200	added ('OK')	image/svg+xml	etag:%2246f103b3c2254505cf0ae2924e1705ea%22	https://assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5afe2c86958_ill-logo-l.svg	/Users/sameersaurabh/desktop/Respawn-cgs/assets.website-files.com/5e3884b717ebc5d2e8c8691b/5e3884b717ebc5afe2c86958_ill-logo-l.svg	(from https://www.translate-wf.com/)
